,Paragraph
0,"Die allgemeine Logik ist über einem Grundrisse erbaut, der ganz genau
mit der Einteilung der oberen Erkenntnisvermögen zusammentrifft. Diese
sind: Verstand, Urteilskraft und Vernunft. Jene Doktrin handelt daher
in ihrer Analytik von Begriffen, Urteilen und Schlüssen, gerade den
Funktionen und der Ordnung jener Gemütskräfte gemäß, die man unter der
weitläufigen Benennung des Verstandes überhaupt begreift."
1,"Da gedachte bloß formale Logik von allem Inhalte der Erkenntnis (ob
sie rein und empirisch sei) abstrahiert, und sich bloß mit der Form
des Denkens (der diskursiven Erkenntnis) überhaupt beschäftigt: so
kann sie in ihrem analytischen Teile auch den Kanon für die Vernunft
mitbefassen, deren Form ihre sichere Vorschrift hat, die, ohne die
besondere Natur der dabei gebrauchten Erkenntnis in Betracht zu
ziehen, a priori, durch bloße Zergliederung der Vernunfthandlungen in
ihre Momente, eingesehen werden kann."
2,"Die transzendentale Logik, da sie auf einen bestimmten Inhalt, nämlich
bloß der reinen Erkenntnisse a priori, eingeschränkt ist, kann es
ihr in dieser Einteilung nicht nachtun. Denn es zeigt sich: daß der
transzendentale Gebrauch der Vernunft gar nicht objektiv gültig
sei, mithin nicht zur Logik der Wahrheit, d.i.# der Analytik gehöre,
sondern, als eine Logik des Scheins, einen besonderen Teil des
scholastischen Lehrgebäudes, unter dem Namen der transzendentalen
Dialektik, erfordere."
3,"Verstand und Urteilskraft haben demnach ihren Kanon des objektiv
gültigen, mithin wahren Gebrauchs, in der transzendentalen Logik, und
gehören also in ihren analytischen Teil. Allein Vernunft in ihren
Versuchen, über Gegenstände a priori etwas auszumachen, und das
Erkenntnis über die Grenzen möglicher Erfahrung zu erweitern, ist
ganz und gar dialektisch, und ihre Scheinbehauptungen schicken sich
durchaus nicht in einen Kanon, dergleichen doch die Analytik enthalten
soll."
4,"Die Analytik der Grundsätze wird demnach lediglich ein Kanon für die
Urteilskraft sein, der sie lehrt, die Verstandesbegriffe, welche die
Bedingung zu Regeln a priori enthalten, auf Erscheinungen anzuwenden.
Aus dieser Ursache werde ich, indem ich die eigentlichen Grundsätze
des Verstandes zum Thema nehme, mich der Benennung einer Doktrin der
Urteilskraft bedienen, wodurch dieses Geschäft genauer bezeichnet
wird."
5,"Wenn der Verstand überhaupt als das Vermögen der Regeln erklärt wird,
so ist Urteilskraft das Vermögen unter Regeln zu subsumieren, d.i.#
zu unterscheiden, ob etwas unter einer gegebenen Regel (casus datae
legis) stehe, oder nicht. Die allgemeine Logik enthält gar keine
Vorschriften für die Urteilskraft, und kann sie auch nicht enthalten.
Denn da sie von allem Inhalte der Erkenntnis abstrahiert, so bleibt
ihr nichts übrig, als das Geschäft, die bloße Form der Erkenntnis in
Begriffen, Urteilen und Schlüssen analytisch auseinander zu setzen,
und dadurch formale Regeln alles Verstandesgebrauchs zustande zu
bringen. Wollte sie nun allgemein zeigen, wie man unter diese Regeln
subsumieren, d.i.# unterscheiden sollte, ob etwas darunter stehe oder
nicht, so könnte dieses nicht anders, als wieder durch eine Regel
geschehen. Diese aber erfordert eben darum, weil sie eine Regel ist,
aufs neue eine Unterweisung der Urteilskraft, und so zeigt sich, daß
zwar der Verstand einer Belehrung und Ausrüstung durch Regeln fähig,
Urteilskraft aber ein besonderes Talent sei, welches gar nicht
belehrt, sondern nur geübt sein will. Daher ist diese auch das
Spezifische des sogenannten Mutterwitzes, dessen Mangel keine Schule
ersetzen kann; denn, ob diese gleich einem eingeschränkten Verstande
Regeln vollauf, von fremder Einsicht entlehnt, darreichen und
gleichsam einpfropfen kann; so muß doch das Vermögen, sich ihrer
richtig zu bedienen, dem Lehrlinge selbst angehören, und keine Regel,
die man ihm in dieser Absicht vorschreiben möchte, ist, in Ermangelung
einer solchen Naturgabe, vor Mißbrauch sicher*. Ein Arzt daher, ein
Richter, oder ein Staatskundiger, kann viel schöne pathologische,
juristische oder politische Regeln im Kopfe haben, in dem Grade, daß
er selbst darin gründlicher Lehrer werden kann, und wird dennoch in
der Anwendung derselben leicht verstoßen, entweder, weil es ihm an
natürlicher Urteilskraft (obgleich nicht am Verstande) mangelt, und
er zwar das Allgemeine in abstracto einsehen, aber ob ein Fall in
concreto darunter gehöre, nicht unterscheiden kann, oder auch darum,
weil er nicht genug durch Beispiele und wirkliche Geschäfte zu diesem
Urteile abgerichtet worden. Dieses ist auch der einige und große
Nutzen der Beispiele: daß sie die Urteilskraft schärfen. Denn was die
Richtigkeit und Präzision der Verstandeseinsicht betrifft, so tun sie
derselben vielmehr gemeiniglich einigen Abbruch, weil sie nur selten
die Bedingung der Regel adäquat erfüllen (als casus in terminis) und
überdem diejenige Anstrengung des Verstandes oftmals schwächen, Regeln
im allgemeinen, und unabhängig von den besonderen Umständen der
Erfahrung, nach ihrer Zulänglichkeit, einzusehen, und sie daher
zuletzt mehr wie Formeln, als Grundsätze, zu gebrauchen angewöhnen. So
sind Beispiele der Gängelwagen der Urteilskraft, welchen derjenige,
dem es am natürlichen Talent desselben mangelt, niemals entbehren
kann."
6,"* Der Mangel an Urteilskraft ist eigentlich das, was man Dummheit
  nennt, und einem solchen Gebrechen ist gar nicht abzuhelfen. Ein
  stumpfer oder eingeschränkter Kopf, dem es an nichts, als am
  gehörigen Grade des Verstandes und eigenen Begriffen desselben
  mangelt, ist durch Erlernung sehr wohl, sogar bis zur Gelehrsamkeit,
  auszurüsten. Da es aber gemeiniglich alsdann auch an jenem (der
  secunda Petri) zu fehlen pflegt, so ist es nichts ungewöhnliches,
  sehr gelehrte Männer anzutreffen, die, im Gebrauche ihrer
  Wissenschaft, jenen nie zu bessernden Mangel häufig blicken lassen."
7,"Ob nun aber gleich die allgemeine Logik der Urteilskraft keine
Vorschriften geben kann, so ist es doch mit der transzendentalen ganz
anders bewandt, sogar daß es scheint, die letztere habe es zu ihrem
eigentlichen Geschäfte, die Urteilskraft im Gebrauch des reinen
Verstandes, durch bestimmte Regeln zu berichtigen und zu sichern.
Denn, um dem Verstande im Felde reiner Erkenntnisse a priori
Erweiterung zu verschaffen, mithin als Doktrin scheint Philosophie
gar nicht nötig, oder vielmehr übel angebracht zu sein, weil man
nach allen bisherigen Versuchen damit doch wenig oder gar kein Land
gewonnen hat, sondern als Kritik, um die Fehltritte der Urteilskraft
(lapsus judicii) im Gebrauch der wenigen reinen Verstandesbegriffe,
die wir haben, zu verhüten, dazu (obgleich der Nutzen alsdann nur
negativ ist) wird Philosophie mit ihrer ganzen Scharfsinnigkeit und
Prüfungskunst aufgeboten."
8,"Es hat aber die Transzendental-Philosophie das Eigentümliche: daß sie
außer der Regel (oder vielmehr der allgemeinen Bedingung zu Regeln),
die in dem reinen Begriffe des Verstandes gegeben wird, zugleich a
priori den Fall anzeigen kann, worauf sie angewandt werden sollen. Die
Ursache von dem Vorzuge, den sie in diesem Stücke vor allen anderen
belehrenden Wissenschaften hat, (außer der Mathematik) liegt eben
darin: daß sie von Begriffen handelt, die sich auf ihre Gegenstände a
priori beziehen sollen, mithin kann ihre objektive Gültigkeit nicht
a posteriori dargetan werden; denn das würde jene Dignität derselben
ganz unberührt lassen, sondern sie muß zugleich die Bedingungen, unter
welchen Gegenstände in Übereinstimmung mit jenen Begriffen gegeben
werden können, in allgemeinen aber hinreichenden Kennzeichen darlegen,
widrigenfalls sie ohne allen Inhalt, mithin bloße logische Formen und
nicht reine Verstandesbegriffe sein würden."
9,"Diese transzendentale Doktrin der Urteilskraft wird nun zwei
Hauptstücke enthalten: das erste, welches von der sinnlichen Bedingung
handelt, unter welcher reine Verstandesbegriffe allein gebraucht
werden können, d.i.# von dem Schematismus des reinen Verstandes; das
zweite aber von denen synthetischen Urteilen, welche aus reinen
Verstandesbegriffen unter diesen Bedingungen a priori herfließen, und
allen übrigen Erkenntnissen a priori zum Grunde liegen, d.i.# von den
Grundsätzen des reinen Verstandes."
