,Sentence
0,"Vermittelst des äußeren Sinnes, (einer Eigenschaft unseres Gemüts),
stellen wir uns Gegenstände als außer uns, und diese insgesamt
im Raume vor."
1,"Darinnen ist ihre Gestalt, Größe und Verhältnis
gegeneinander bestimmt, oder bestimmbar."
2,"Der innere Sinn, vermittelst
dessen das Gemüt sich selbst, oder seinen inneren Zustand anschaut,
gibt zwar keine Anschauung von der Seele selbst, als einem Objekt;
allein es ist doch eine bestimmte Form, unter der die Anschauung ihres
inneren Zustandes allein möglich ist, so daß alles, was zu den inneren
Bestimmungen gehört, in Verhältnissen der Zeit vorgestellt wird."
3,"Äußerlich kann die Zeit nicht angeschaut werden, so wenig wie der
Raum, als etwas in uns."
4,Was sind nun Raum und Zeit?
5,"Sind es wirkliche
Wesen?"
6,"Sind es zwar nur Bestimmungen, oder auch Verhältnisse der
Dinge, aber doch solche, welche ihnen auch an sich zukommen würden,
wenn sie auch nicht angeschaut würden, oder sind sie solche, die
nur an der Form der Anschauung allein haften, und mithin an der
subjektiven Beschaffenheit unseres Gemüts, ohne welche diese Prädikate
gar keinem Dinge beigelegt werden können?"
7,"Um uns hierüber zu belehren,
wollen wir zuerst den Begriff des Raumes erörtern."
8,"Ich verstehe
aber unter Erörterung (expositio) die deutliche, (wenn gleich nicht
ausführliche) Vorstellung dessen, was zu einem Begriffe gehört;
metaphysisch aber ist die Erörterung, wenn sie dasjenige enthält, was
den Begriff, als a priori gegeben, darstellt."
9,"Der Raum ist kein empirischer Begriff, der von äußeren Erfahrungen
abgezogen worden."
10,"Denn damit gewiße Empfindungen auf etwas außer mich
bezogen werden, (d.i.# auf etwas in einem anderen Orte des Raumes,
als darinnen ich mich befinde), imgleichen damit ich sie als außer-
und nebeneinander, mithin nicht bloß verschieden, sondern als in
verschiedenen Orten vorstellen könne, dazu muß die Vorstellung des
Raumes schon zum Grunde liegen."
11,"Demnach kann die Vorstellung des
Raumes nicht aus den Verhältnissen der äußeren Erscheinung durch
Erfahrung erborgt sein, sondern diese äußere Erfahrung ist selbst nur
durch gedachte Vorstellung allererst möglich."
12,"Der Raum ist eine notwendige Vorstellung a priori, die allen
äußeren Anschauungen zum Grunde liegt."
13,"Man kann sich niemals eine
Vorstellung davon machen, daß kein Raum sei, ob man sich gleich ganz
wohl denken kann, daß keine Gegenstände darin angetroffen werden."
14,"Er
wird also als die Bedingung der Möglichkeit der Erscheinungen, und
nicht als eine von ihnen abhängende Bestimmung angesehen, und ist eine
Vorstellung a priori, die notwendigerweise äußeren Erscheinungen zum
Grunde liegt."
15,"Der Raum ist kein diskursiver oder, wie man sagt, allgemeiner
Begriff von Verhältnissen der Dinge überhaupt sondern eine reine
Anschauung."
16,"Denn erstlich kann man sich nur einen einigen Raum
vorstellen, und wenn man von vielen Räumen redet, so versteht man
darunter nur Teile eines und desselben alleinigen Raumes."
